"","Intercept","Linear Slope","Quadratic Slope"
"Intercept","0.146 (0.042 - 0.299)","0.178 (0.0878 - 0.291)","-0.0773 (-0.13 - -0.0373)"
"Linear Slope","0.978 (0.937 - 0.997)","0.239 (0.159 - 0.339)","-0.0961 (-0.138 - -0.0638)"
"Quadratic Slope","-0.971 (-0.998 - -0.917)","-0.926 (-0.993 - -0.805)","0.046 (0.027 - 0.071)"
