"","Intercept","Linear Slope","Quadratic Slope"
"Intercept","0.015 (0.009 - 0.024)","0.00201 (-0.00339 - 0.0087)","-0.00663 (-0.0125 - -0.0022)"
"Linear Slope","0.122 (-0.241 - 0.465)","0.016 (0.008 - 0.027)","0.00438 (3.9e-07 - 0.0101)"
"Quadratic Slope","-0.557 (-0.774 - -0.275)","0.372 (4.04e-05 - 0.695)","0.009 (0.004 - 0.015)"
