"","Intercept","Linear Slope","Quadratic Slope"
"Intercept","0.016 (0.011 - 0.024)","0.00258 (-0.00186 - 0.00754)","-0.00583 (-0.0108 - -0.00177)"
"Linear Slope","0.166 (-0.136 - 0.436)","0.014 (0.009 - 0.021)","0.00761 (0.00356 - 0.0128)"
"Quadratic Slope","-0.414 (-0.62 - -0.157)","0.595 (0.332 - 0.799)","0.012 (0.007 - 0.018)"
