F1_Genotype,F1_LD_ID,F1_EGG_ID,Year,ENCL,Dam,Sire
E043_17_BABY_05,ld0527,egg0311,2017,e043,ld0067,ld0442
E043_17_BABY_06,ld0490,egg0262,2017,e043,ld0067,ld0442
E043_17_BABY_07,ld0488,egg0310,2017,e043,ld0067,ld0442
E043_17_BABY_09,ld0498,egg0307,2017,e043,ld0067,ld0442
E043_17_BABY_11,ld0521,egg0308,2017,e043,ld0067,ld0442
E043_17_BABY_12,ld0542,egg0382,2017,e043,ld0067,ld0442
E006_17_BABY_01,ld0468,egg0278,2017,e006,ld0068,ld0006
E006_17_BABY_02,ld0469,egg0277,2017,e006,ld0068,ld0006
E006_17_BABY_03,ld0491,egg0279,2017,e006,ld0068,ld0006
E006_17_BABY_04,ld0509,egg0349,2017,e006,ld0068,ld0006
E006_17_BABY_05,ld0510,egg0347,2017,e006,ld0068,ld0006
E006_17_BABY_06,ld0531,egg0350,2017,e006,ld0068,ld0006
E0M1A_17_BABY_01,ld0551,egg0389,2017,e0m1a,ld0069,ld0102
E0M1A_17_BABY_02,ld0552,egg0391,2017,e0m1a,ld0069,ld0102
E0M1A_17_BABY_03,ld0555,egg0389,2017,e0m1a,ld0069,ld0102
E029_17_BABY_02,ld0546,egg0383,2017,e029,ld0072,ld0119
E014_17_BABY_01,ld0484,egg0287,2017,e014,ld0081,ld0111
E014_17_BABY_02,ld0485,egg0288,2017,e014,ld0081,ld0111
E014_17_BABY_03,ld0513,egg0290,2017,e014,ld0081,ld0111
E014_17_BABY_04,ld0514,egg0289,2017,e014,ld0081,ld0111
E025_16_BABY_01,ld0263,egg0083,2016,e025,ld0085,ld0076
E025_16_BABY_02,ld0299,egg0080,2016,e025,ld0085,ld0076
E025_16_BABY_03,ld0303,egg0081,2016,e025,ld0085,ld0076
E025_16_BABY_04,ld0342,egg0176,2016,e025,ld0085,ld0076
E025_16_BABY_05,ld0340,egg0177,2016,e025,ld0085,ld0076
E025_16_BABY_06,ld0367,egg0178,2016,e025,ld0085,ld0076
E025_17_BABY_01,ld0516,egg0357,2017,e025,ld0085,ld0137
E025_17_BABY_02,ld0543,egg0359,2017,e025,ld0085,ld0137
E038_16_BABY_01,ld0222,egg0013,2016,e038,ld0090,ld0027
E038_16_BABY_02,ld0234,egg0014,2016,e038,ld0090,ld0027
E038_16_BABY_03,ld0220,egg0015,2016,e038,ld0090,ld0027
E038_16_BABY_04,ld0236,egg0016,2016,e038,ld0090,ld0027
E038_16_BABY_05,ld0374,egg0190,2016,e038,ld0090,ld0027
E038_16_BABY_06,ld0365,egg0191,2016,e038,ld0090,ld0027
E038_16_BABY_07,ld0375,egg0192,2016,e038,ld0090,ld0027
E038_16_BABY_08,ld0360,egg0193,2016,e038,ld0090,ld0027
E028_16_BABY_01,ld0353,egg0184,2016,e028,ld0091,ld0043
E028_16_BABY_02,ld0371,egg0185,2016,e028,ld0091,ld0043
E028_16_BABY_03,ld0354,egg0186,2016,e028,ld0091,ld0043
E001_17_BABY_06,ld0530,egg0340,2017,e001,ld0093,ld0140
E026_17_BABY_01,ld0457,egg0249,2017,e026,ld0093,ld0140
E026_17_BABY_02,ld0458,egg0252,2017,e026,ld0093,ld0140
E026_17_BABY_03,ld0487,egg0248,2017,e026,ld0093,ld0140
E026_17_BABY_04,ld0502,egg0331,2017,e026,ld0093,ld0140
E026_17_BABY_05,ld0526,egg0329,2017,e026,ld0093,ld0140
E034_17_BABY_01,ld0553,egg0385,2017,e034,ld0101,ld0077
E017_16_BABY_01,ld0320,egg0085,2016,e017,ld0103,ld0150
E017_16_BABY_02,ld0268,egg0086,2016,e017,ld0103,ld0150
E017_16_BABY_03,ld0373,egg0181,2016,e017,ld0103,ld0150
E017_16_BABY_04,ld0352,egg0182,2016,e017,ld0103,ld0150
E017_16_BABY_05,ld0372,egg0183,2016,e017,ld0103,ld0150
E045_17_BABY_01,ld0451,egg0244,2017,e045,ld0106,ld0175
E045_17_BABY_02,ld0475,egg0241,2017,e045,ld0106,ld0175
E045_17_BABY_03,ld0476,egg0245,2017,e045,ld0106,ld0175
E045_17_BABY_04,ld0481,egg0242,2017,e045,ld0106,ld0175
E045_17_BABY_05,ld0483,egg0243,2017,e045,ld0106,ld0175
E045_17_BABY_06,ld0511,egg0353,2017,e045,ld0106,ld0175
E045_17_BABY_07,ld0512,egg0356,2017,e045,ld0106,ld0175
E045_17_BABY_08,ld0536,egg0354,2017,e045,ld0106,ld0175
E0M2A_17_BABY_05,ld0538,egg0341,2017,e0m2a,ld0106,ld0175
E040_17_BABY_01,ld0486,egg0292,2017,e040,ld0116,ld0143
E040_17_BABY_02,ld0482,egg0291,2017,e040,ld0116,ld0143
E040_17_BABY_03,ld0515,egg0294,2017,e040,ld0116,ld0143
E040_17_BABY_04,ld0517,egg0293,2017,e040,ld0116,ld0143
E040_17_BABY_05,ld0518,egg0365,2017,e040,ld0116,ld0143
E040_17_BABY_06,ld0520,egg0372,2017,e040,ld0116,ld0143
E040_17_BABY_07,ld0524,egg0367,2017,e040,ld0116,ld0143
E040_17_BABY_08,ld0544,egg0366,2017,e040,ld0116,ld0143
E040_17_BABY_09,ld0545,egg0368,2017,e040,ld0116,ld0143
E013_16_BABY_01,ld0225,egg0021,2016,e013,ld0121,ld0146
E013_16_BABY_02,ld0224,egg0023,2016,e013,ld0121,ld0146
E037_17_BABY_01,ld0504,egg0326,2017,e037,ld0122,ld0076
E037_17_BABY_02,ld0508,egg0327,2017,e037,ld0122,ld0076
E037_17_BABY_03,ld0529,egg0324,2017,e037,ld0122,ld0076
E037_17_BABY_04,ld0535,egg0325,2017,e037,ld0122,ld0076
E037_17_BABY_05,ld0540,egg0374,2017,e037,ld0122,ld0076
E037_17_BABY_06,ld0541,egg0376,2017,e037,ld0122,ld0076
E037_17_BABY_07,ld0547,egg0377,2017,e037,ld0122,ld0076
E037_17_BABY_08,ld0548,egg0375,2017,e037,ld0122,ld0076
E037_17_BABY_09,ld0549,egg0378,2017,e037,ld0122,ld0076
E45_16_BABY_01,ld0230,egg0009,2016,e045,ld0125,ld0107
E45_16_BABY_02,ld0231,egg0010,2016,e045,ld0125,ld0107
E45_16_BABY_03,ld0217,egg0011,2016,e045,ld0125,ld0107
E45_16_BABY_04,ld0223,egg0012,2016,e045,ld0125,ld0107
E045_17_BABY_09,ld0539,egg0355,2017,e045,ld0126,ld0115
E0M2A_17_BABY_01,ld0470,egg0282,2017,e0m2a,ld0126,ld0115
E0M2A_17_BABY_02,ld0474,egg0284,2017,e0m2a,ld0126,ld0115
E0M2A_17_BABY_03,ld0497,egg0283,2017,e0m2a,ld0126,ld0115
E0M2A_17_BABY_04,ld0537,egg0343,2017,e0m2a,ld0126,ld0115
E021_16_BABY_07,ld0370,egg0179,2016,e021,ld0132,ld0042
E021_16_BABY_08,ld0350,egg0180,2016,e021,ld0132,ld0042
E032_16_BABY_01,ld0362,egg0169,2016,e032,ld0136,ld0077
E032_16_BABY_02,ld0363,egg0170,2016,e032,ld0136,ld0077
E032_16_BABY_03,ld0333,egg0171,2016,e032,ld0136,ld0077
E032_16_BABY_04,ld0335,egg0172,2016,e032,ld0136,ld0077
E031_16_BABY_01,ld0249,egg0052,2016,e031,ld0139,ld0006
E031_16_BABY_02,ld0248,egg0053,2016,e031,ld0139,ld0006
E031_16_BABY_03,ld0300,egg0054,2016,e031,ld0139,ld0006
E031_16_BABY_04,ld0301,egg0055,2016,e031,ld0139,ld0006
E0M4_16_BABY_01,ld0381,egg0201,2016,e0m4,ld0139,ld0006
E0M4_16_BABY_02,ld0377,egg0202,2016,e0m4,ld0139,ld0006
E044_16_BABY_01,ld0369,egg0194,2016,e044,ld0144,ld0013
E044_16_BABY_02,ld0378,egg0195,2016,e044,ld0144,ld0013
E044_16_BABY_03,ld0368,egg0196,2016,e044,ld0144,ld0013
E044_16_BABY_04,ld0379,egg0197,2016,e044,ld0144,ld0013
E0M8_17_BABY_06,ld0489,egg0312,2017,e0m8,ld0147,ld0018
E0M8_17_BABY_07,ld0522,egg0314,2017,e0m8,ld0147,ld0018
E0M8_17_BABY_08,ld0523,egg0313,2017,e0m8,ld0147,ld0018
E021_16_BABY_01,ld0310,egg0046,2016,e021,ld0152,ld0140
E021_16_BABY_02,ld0261,egg0059,2016,e021,ld0152,ld0140
E021_16_BABY_03,ld0327,egg0155,2016,e021,ld0152,ld0140
E021_16_BABY_04,ld0328,egg0156,2016,e021,ld0152,ld0140
E021_16_BABY_05,ld0358,egg0157,2016,e021,ld0152,ld0140
E021_16_BABY_06,ld0361,egg0158,2016,e021,ld0152,ld0140
E049_16_BABY_04,ld0329,egg0165,2016,e049,ld0156,w0001
E049_16_BABY_05,ld0359,egg0166,2016,e049,ld0156,w0001
E049_16_BABY_06,ld0364,egg0167,2016,e049,ld0156,w0001
E049_16_BABY_07,ld0334,egg0168,2016,e049,ld0156,w0001
E049_16_BABY_01,ld0311,egg0056,2016,e049,ld0157,w0002
E049_16_BABY_02,ld0252,egg0057,2016,e049,ld0157,w0002
E049_16_BABY_03,ld0298,egg0058,2016,e049,ld0157,w0002
E050_16_BABY_01,ld0242,egg0039,2016,e050,ld0160,w0003
E050_16_BABY_02,ld0240,egg0040,2016,e050,ld0160,w0003
E050_16_BABY_04,ld0260,egg0076,2016,e050,ld0161,w0004
E050_16_BABY_05,ld0317,egg0077,2016,e050,ld0161,w0004
E050_16_BABY_06,ld0309,egg0078,2016,e050,ld0161,w0004
E050_16_BABY_07,ld0265,egg0079,2016,e050,ld0161,w0004
E051_16_BABY_04,ld0280,egg0120,2016,e051,ld0163,w0005
E051_16_BABY_05,ld0326,egg0121,2016,e051,ld0163,w0005
E050_16_BABY_03,ld0287,egg0041,2016,e050,ld0164,w0006
E051_16_BABY_01,ld0324,egg0094,2016,e051,ld0164,w0006
E051_16_BABY_02,ld0273,egg0096,2016,e051,ld0164,w0006
